Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
left_arm_base_link,0.0030333225964161,-0.000695374211760413,0.0297999913998699,0,0,0,0.129375390391129,0.000209638954503881,1.40428307955712E-06,5.68689686775343E-06,0.000199797107592004,-3.65725364306001E-06,0.00023745988736141,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/left_arm_base_link.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/left_arm_base_link.STL,,MMP_RevB_topright_A1X带外观_20250210.stp-1/A1X_EVT3_URDF_20240210_stp.stp-1/A1XEVT3.stp-1/基座.1.stp-1/基座底板.stp-1,left_arm_base_link,left_arm_base_joint,left_arm_base_joint,fixed,0,0.335,0.12306,0,0,0,torso_link3,0,0,0,,,,,,,,,,,,
left_arm_link1,3.42079032877862E-07,-0.00198629091504759,0.0468866154783616,0,0,0,0.364544777583035,0.000224145218285449,-4.77827595565432E-10,8.43370254611206E-09,0.000269809362921142,9.38346508356547E-09,0.000218726872211685,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/left_arm_link1.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/left_arm_link1.STL,,MMP_RevB_topright_A1X带外观_20250210.stp-1/A1X_EVT3_URDF_20240210_stp.stp-1/A1XEVT3.stp-1/link1.stp-1/J2电机.1.stp-1;MMP_RevB_topright_A1X带外观_20250210.stp-1/A1X_EVT3_URDF_20240210_stp.stp-1/A1XEVT3.stp-1/link1.stp-1/双端连接板.stp-1,left_arm_link1,left_arm_joint1,left_arm_joint1,revolute,0,0,0.08605,0,0,0,left_arm_base_link,0,0,1,0,0,0,0,,,,,,,,
left_arm_link2,-0.122675172740935,-0.0295384346078661,0.00365030178710546,0,0,0,0.356792840395095,0.000388241930413796,-2.17638982375649E-05,8.91426532538946E-06,0.00274637473933513,1.19748272961647E-06,0.00278012046088806,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/left_arm_link2.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/left_arm_link2.STL,,MMP_RevB_topright_A1X带外观_20250210.stp-1/A1X_EVT3_URDF_20240210_stp.stp-1/A1XEVT3.stp-1/link2.stp-1/J2输出板1.stp-1,left_arm_link2,left_arm_joint2,left_arm_joint2,revolute,0,0.03075,0.04925,0,0,0,left_arm_link1,0,1,0,0,0,0,0,,,,,,,,
left_arm_link3,0.0566624793223791,-0.0291316466078999,0.0568018844686509,0,0,0,0.206505070060635,0.000257907545256439,1.02695451350475E-05,-0.000131693719602983,0.000671352233244435,-8.03382534299068E-06,0.000550051611056369,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/left_arm_link3.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/left_arm_link3.STL,,MMP_RevB_topright_A1X带外观_20250210.stp-1/A1X_EVT3_URDF_20240210_stp.stp-1/A1XEVT3.stp-1/AX_link3.1.stp-1/小方管.stp-1,left_arm_link3,left_arm_joint3,left_arm_joint3,revolute,-0.3,0.00025004,0,0,0,0,left_arm_link2,0,-1,0,0,0,0,0,,,,,,,,
left_arm_link4,0.0699840030193581,-0.0287504697364447,0.0541968318197228,0,0,0,0.169547127371282,6.62006896114572E-05,-9.3635648969069E-09,-4.25876556256057E-09,6.79307239443371E-05,7.77726883989867E-07,6.69265447808637E-05,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/left_arm_link4.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/left_arm_link4.STL,,MMP_RevB_topright_A1X带外观_20250210.stp-1/A1X_EVT3_URDF_20240210_stp.stp-1/A1XEVT3.stp-1/AX_link4.1.stp-1/J5电机.stp-1;MMP_RevB_topright_A1X带外观_20250210.stp-1/A1X_EVT3_URDF_20240210_stp.stp-1/A1XEVT3.stp-1/AX_link4.1.stp-1/J5固定板1.stp-1,left_arm_link4,left_arm_joint4,left_arm_joint4,revolute,0.1747,0.00049739,0.075485,0,0,0,left_arm_link3,0,1,0,0,0,0,0,,,,,,,,
left_arm_link5,-0.000803198983898074,-2.29028914278118E-07,-0.0402656141956459,0,0,0,0.141438566677462,5.80420988761095E-05,-1.94657864482709E-13,1.11613844426808E-14,5.76397557796697E-05,-3.56183851121823E-11,5.68558379713068E-05,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/left_arm_link5.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/left_arm_link5.STL,,MMP_RevB_topright_A1X带外观_20250210.stp-1/A1X_EVT3_URDF_20240210_stp.stp-1/A1XEVT3.stp-1/AX_link5.1.stp-1/J6电机.stp-1;MMP_RevB_topright_A1X带外观_20250210.stp-1/A1X_EVT3_URDF_20240210_stp.stp-1/A1XEVT3.stp-1/AX_link5.1.stp-1/J6固定板.stp-1,left_arm_link5,left_arm_joint5,left_arm_joint5,revolute,0.08,-0.031498,0.0405,0,0,0,left_arm_link4,0,0,-1,0,0,0,0,,,,,,,,
left_arm_link6,0.00709944426961403,-8.90673146347609E-10,-3.82632235882419E-05,0,0,0,0.0113961219466808,3.44527427683917E-06,-2.00656296989553E-13,-1.26136975189559E-09,1.82572780689222E-06,-3.95364679222355E-15,1.81730990577526E-06,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/left_arm_link6.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/left_arm_link6.STL,,MMP_RevB_topright_A1X带外观_20250210.stp-1/A1X_EVT3_URDF_20240210_stp.stp-1/A1XEVT3.stp-1/J6输出轴法兰盘.stp-1,left_arm_link6,left_arm_joint6,left_arm_joint6,revolute,0.022503,0,-0.0405,0,0,0,left_arm_link5,1,0,0,0,0,0,0,,,,,,,,
left_gripper_link,-0.0311072323899603,1.17979991887118E-08,7.93394685505433E-08,0,0,0,0.246252465337792,0.000175881544189539,-6.06026450851008E-11,5.30643405624365E-10,9.86379407701341E-05,-8.18686692495892E-08,0.000165121280580029,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/left_gripper_link.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/left_gripper_link.STL,,MMP_RevB_topright_A1X带外观_20250210.stp-1/A1X_EVT3_URDF_20240210_stp.stp-1/A1XEVT3.stp-1/G1夹爪.stp-1/Copy (1) of Copy (1) of G1_GEN2_.stp-1,left_gripper_link,left_gripper_joint,left_gripper_joint,fixed,0.08165,0,0,0,0,0,left_arm_link6,0,0,0,,,,,,,,,,,,
left_gripper_link1,-0.0195895895552112,-0.0151136845490034,0.00542254359093075,0,0,0,0.020196517310345,2.40569358477209E-06,3.9898459609048E-07,5.12152762183641E-08,5.71079298307516E-06,6.19467902008363E-08,6.48482183930358E-06,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/left_gripper_link1.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/left_gripper_link1.STL,,MMP_RevB_topright_A1X带外观_20250210.stp-1/A1X_EVT3_URDF_20240210_stp.stp-1/A1XEVT3.stp-1/G1夹爪.stp-1/Copy (1) of Copy (1) of F1.stp-1,left_gripper_link1,left_gripper_joint1,left_gripper_joint1,prismatic,0.03689,0.013453,0.00012059,0,0,0,left_gripper_link,0,0.99997,0.0077826,0,0,0,0,,,,,,,,
left_gripper_link2,-0.0195895857999098,0.0151136893508115,-0.00542254357246619,0,0,0,0.0201965174144991,2.40569340151687E-06,-3.98983784827124E-07,-5.12152683073981E-08,5.71079321589929E-06,6.19467953006536E-08,6.48482187274222E-06,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/left_gripper_link2.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/left_gripper_link2.STL,,MMP_RevB_topright_A1X带外观_20250210.stp-1/A1X_EVT3_URDF_20240210_stp.stp-1/A1XEVT3.stp-1/G1夹爪.stp-1/Copy (1) of Copy (2) of F1.stp-1,left_gripper_link2,left_gripper_joint2,left_gripper_joint2,prismatic,0.03689,-0.013453,-0.00012059,0,0,0,left_gripper_link,0,-0.99997,-0.0077826,0,0,0,0,,,,,,,,
right_arm_base_link,0.00303332259650781,-0.000695374211141575,0.0297999913998387,0,0,0,0.129375390391359,0.000209638954503626,1.40428308154529E-06,5.6868968683427E-06,0.000199797107592703,-3.6572536418827E-06,0.000237459887361725,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/right_arm_base_link.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/right_arm_base_link.STL,,MMP_RevB_topright_A1X带外观_20250210.stp-1/A1X_EVT3_URDF_20240210_stp.stp-2/A1XEVT3.stp-1/基座.1.stp-1/基座底板.stp-1,right_arm_base_link,right_arm_base_joint,right_arm_base_joint,fixed,0,-0.335,0.12306,0,0,0,torso_link3,0,0,0,,,,,,,,,,,,
